Domain,Kingdom,Subkingdom,Phylum,Class,Order,SubOrder,Genus,Species
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthales,Achnanthales,Achnanthales
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthales,Cocconeis,Cocconeis
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthales,Achnanthidium,Achnanthidium
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthales,Pauliella,Pauliella_taeniata
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthales,Planothidium,Planothidium
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Coscinodiscophyceae,Asterolamprales,Asterolamprales,Asteromphalus,Asteromphalus_sp.
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariales,Nitzschia,Nitzschia
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariales,Cylindrotheca,Cylindrotheca_closterium
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariales,Nitzschia,Nitzschia_dubiiformis
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariales,Nitzschia,Nitzschia_recta
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariales,Bacillariales,Bacillariales
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariales,Nitzschia,Nitzschia_sigmoidea
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariales,Cylindrotheca,Cylindrotheca
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariales,Cylindrotheca,Cylindrotheca_sp.
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariales,Nitzschia,Nitzschia_volvendirostrata
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariales,Nitzschia,Nitzschia_laevis
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariales,Tryblionella,Tryblionella_gaoana
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariales,Nitzschia,Nitzschia_spathulata
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariales,Nitzschia,Nitzschia_promare
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariales,Nitzschia,Nitzschia_nanodissipata
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariales,Nitzschia,Nitzschia_dubia
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariales,Nitzschia,Nitzschia_sp.
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariales,Nitzschia,Nitzschia_traheaformis
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariales,Nitzschia,Nitzschia_capitellata
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariales,Nitzschia,Nitzschia_adhaerens
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariales,Tryblionella,Tryblionella_apiculata
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariales,Nitzschia,Nitzschia_draveillensis
