Domain,Phylum,Class,Order,Family,Genus,Species
Eukaryota,Choanoflagellida,Acanthoecida,Acanthoecidae,Acanthoecidae_fa,FV23-1A4,FV23-1A4
Eukaryota,Cnidaria,Hydrozoa,Anthoathecata,Anthoathecata,Anthoathecata,Anthoathecata
Eukaryota,Arthropoda,Arachnida,Arachnida,Arachnida,Arachnida,Arachnida
Eukaryota,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda
Eukaryota,Ochrophyta,Diatomea,Bacillariophytina,Bacillariophyceae,Achnanthidium,Achnanthidium
Eukaryota,Ochrophyta,Diatomea,Bacillariophytina,Bacillariophyceae,Amphora,Amphora
Eukaryota,Ochrophyta,Diatomea,Bacillariophytina,Mediophyceae,Arcocellulus,Arcocellulus
Eukaryota,Ochrophyta,Diatomea,Bacillariophytina,Bacillariophyceae,Bacillaria,Bacillaria
Eukaryota,Ochrophyta,Diatomea,Bacillariophytina,Bacillariophyceae,Bacillariophyceae,Bacillariophyceae
Eukaryota,Ochrophyta,Diatomea,Bacillariophytina,Bacillariophytina,Bacillariophytina,Bacillariophytina
Eukaryota,Ochrophyta,Diatomea,Bacillariophytina,Mediophyceae,Chaetoceros,Chaetoceros
Eukaryota,Ochrophyta,Diatomea,Bacillariophytina,Bacillariophyceae,Cylindrotheca,Cylindrotheca
Eukaryota,Ochrophyta,Diatomea,Bacillariophytina,Mediophyceae,Discostella,Discostella
Eukaryota,Ochrophyta,Diatomea,Bacillariophytina,Bacillariophyceae,Fistulifera,Fistulifera
Eukaryota,Ochrophyta,Diatomea,Bacillariophytina,Bacillariophyceae,Gyrosigma,Gyrosigma
Eukaryota,Ochrophyta,Diatomea,Bacillariophytina,Bacillariophyceae,Haslea,Haslea
Eukaryota,Ochrophyta,Diatomea,Bacillariophytina,Mediophyceae,Mediophyceae,Mediophyceae
Eukaryota,Ochrophyta,Diatomea,Bacillariophytina,Bacillariophyceae,Navicula,Navicula
Eukaryota,Ochrophyta,Diatomea,Bacillariophytina,Bacillariophyceae,Nitzschia,Nitzschia
Eukaryota,Ochrophyta,Diatomea,Bacillariophytina,Mediophyceae,Odontella,Odontella
Eukaryota,Ochrophyta,Diatomea,Bacillariophytina,Bacillariophyceae,Phaeodactylum,Phaeodactylum
Eukaryota,Ochrophyta,Diatomea,Bacillariophytina,Bacillariophyceae,Pinnularia,Pinnularia
Eukaryota,Ochrophyta,Diatomea,Bacillariophytina,Bacillariophyceae,Placoneis,Placoneis
Eukaryota,Ochrophyta,Diatomea,Bacillariophytina,Bacillariophyceae,Pleurosigma,Pleurosigma
Eukaryota,Ochrophyta,Diatomea,Bacillariophytina,Mediophyceae,Porosira,Porosira
Eukaryota,Ochrophyta,Diatomea,Bacillariophytina,Mediophyceae,Skeletonema,Skeletonema
Eukaryota,Ochrophyta,Diatomea,Bacillariophytina,Bacillariophyceae,Stauroneis,Stauroneis
Eukaryota,Ochrophyta,Diatomea,Bacillariophytina,Mediophyceae,Thalassiosira,Thalassiosira
Eukaryota,Mollusca,Gastropoda,Caenogastropoda,Caenogastropoda,Caenogastropoda,Caenogastropoda
Eukaryota,Ascomycota,Dothideomycetes,Capnodiales,Cladosporiaceae,Cladosporium,Cladosporium
Eukaryota,Cercozoa,Cercozoa,Cercozoa,Cercozoa,Cercozoa,Cercozoa
Eukaryota,Ochrophyta,Raphidophyceae,Chattonellales,Chattonellales_fa,Heterosigma,Heterosigma
Eukaryota,Chlorophyta_ph,Chlorophyceae,Chlamydomonadales,Chlamydomonadales_fa,Chlamydomonas,Chlamydomonas
Eukaryota,Chlorophyta_ph,Chlorophyceae,Chlamydomonadales,Chlamydomonadales_fa,Microglena,Microglena
Eukaryota,Chlorophyta_ph,Ulvophyceae,Chlorocystidales,Chlorocystidales_fa,Desmochloris,Desmochloris
Eukaryota,Nematoda,Chromadorea,Chromadorida,Chromadorida,Chromadorida,Chromadorida
Eukaryota,Ochrophyta,Chrysophyceae,Chromulinales,Chromulinales_fa,Pedospumella,Pedospumella
Eukaryota,Ochrophyta,Chrysophyceae,Chromulinales,Chromulinales_fa,Spumella,Spumella
Eukaryota,Chytridiomycota,Incertae_Sedis,Chytridiales,Chytridiaceae,Chytridium,Chytridium
Eukaryota,Ciliophora,Ciliophora,Ciliophora,Ciliophora,Ciliophora,Ciliophora
Eukaryota,Chlorophyta_ph,Ulvophyceae,Cladophorales,Cladophorales_fa,Cladophora,Cladophora
Eukaryota,Chlorophyta_ph,Ulvophyceae,Cladophorales,Cladophorales_fa,Rhizoclonium,Rhizoclonium
Eukaryota,Ciliophora,Intramacronucleata,Conthreep,Phyllopharyngea,Brooklynella,Brooklynella
Eukaryota,Ciliophora,Intramacronucleata,Conthreep,Conthreep,Conthreep,Conthreep
Eukaryota,Ciliophora,Intramacronucleata,Conthreep,Oligohymenophorea,Cothurnia,Cothurnia
Eukaryota,Ciliophora,Intramacronucleata,Conthreep,Phyllopharyngea,Dysteria,Dysteria
Eukaryota,Ciliophora,Intramacronucleata,Conthreep,Phyllopharyngea,Ephelota,Ephelota
Eukaryota,Ciliophora,Intramacronucleata,Conthreep,Phyllopharyngea,Phyllopharyngea,Phyllopharyngea
Eukaryota,Ciliophora,Intramacronucleata,Conthreep,Oligohymenophorea,Zoothamnium,Zoothamnium
Eukaryota,Tunicata,Appendicularia,Copelata,Oikopleuridae,Oikopleuridae,Oikopleuridae
Eukaryota,Florideophycidae,Corallinophycidae,Corallinophycidae_or,Corallinophycidae_fa,Mesophyllum,Mesophyllum
Eukaryota,Ochrophyta,Diatomea,Coscinodiscophytina,Coscinodiscophytina,Coscinodiscophytina,Coscinodiscophytina
Eukaryota,Ochrophyta,Diatomea,Coscinodiscophytina,Fragilariales,Fragilariales,Fragilariales
Eukaryota,Ochrophyta,Diatomea,Coscinodiscophytina,Fragilariales,Grammonema,Grammonema
Eukaryota,Ochrophyta,Diatomea,Coscinodiscophytina,Melosirids,Hyalodiscus,Hyalodiscus
Eukaryota,Ochrophyta,Diatomea,Coscinodiscophytina,Fragilariales,Licmophora,Licmophora
Eukaryota,Ochrophyta,Diatomea,Coscinodiscophytina,Melosirids,Melosira,Melosira
Eukaryota,Ochrophyta,Diatomea,Coscinodiscophytina,Melosirids,Melosirids,Melosirids
Eukaryota,Ochrophyta,Diatomea,Coscinodiscophytina,Fragilariales,Rhabdonema,Rhabdonema
Eukaryota,Ochrophyta,Diatomea,Coscinodiscophytina,Melosirids,Stephanopyxis,Stephanopyxis
Eukaryota,Ochrophyta,Diatomea,Coscinodiscophytina,Fragilariales,Tabularia,Tabularia
Eukaryota,Cercozoa,Thecofilosea,Cryomonadida,Rhizaspididae,Rhogostoma,Rhogostoma
Eukaryota,Phragmoplastophyta,Embryophyta,Cupressales,Cupressales_fa,Taiwania,Taiwania
Eukaryota,Arthropoda,Maxillopoda,Cyclopoida,Cyclopoida,Cyclopoida,Cyclopoida
Eukaryota,Ochrophyta,Diatomea,Diatomea,Diatomea,Diatomea,Diatomea
Eukaryota,Ochrophyta,Phaeophyceae,Dictyotales,Dictyotales_fa,Dictyotales_fa,Dictyotales_fa
Eukaryota,Dinoflagellata,Dinoflagellata,Dinoflagellata,Dinoflagellata,Dinoflagellata,Dinoflagellata
Eukaryota,Dinoflagellata,Dinophyceae,Dinophyceae,Dinophyceae,Dinophyceae,Dinophyceae
Eukaryota,Ascomycota,Dothideomycetes,Dothideales,Aureobasidiaceae,Aureobasidium,Aureobasidium
Eukaryota,Ascomycota,Dothideomycetes,Dothideomycetes,Dothideomycetes,Dothideomycetes,Dothideomycetes
Eukaryota,Ochrophyta,Phaeophyceae,Ectocarpales,Ectocarpales,Ectocarpales,Ectocarpales
Eukaryota,Ochrophyta,Phaeophyceae,Ectocarpales,Ectocarpales_fa,Ectocarpales_fa,Ectocarpales_fa
Eukaryota,Ochrophyta,Phaeophyceae,Ectocarpales,Ectocarpales_fa,Halothrix,Halothrix
