Domain,Kingdom,Subkingdom,Phylum,Class,Order,SubOrder,Genus,Species,InBioBlitz,InSeagrass,InMark
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthales,Achnanthales,Achnanthales,y,y,y
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthales,Achnanthidium,Achnanthidium,y,y,y
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Thalassiophysales,Thalassiophysales,Amphora,Amphora,y,y,y
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Thalassiophysales,Thalassiophysales,Amphora,Amphora_abludens,y,y,y
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Thalassiophysales,Thalassiophysales,Amphora,Amphora_beaufortiana,y,y,y
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Thalassiophysales,Thalassiophysales,Amphora,Amphora_helenensis,y,y,y
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Thalassiophysales,Thalassiophysales,Amphora,Amphora_lineolata,y,y,y
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Thalassiophysales,Thalassiophysales,Amphora,Amphora_sublaevis,y,y,y
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Thalassiophysales,Thalassiophysales,Amphora,Amphora_sulcata,y,y,y
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Thalassiophysales,Thalassiophysales,Amphora,Amphora_vixvisibilis,n,y,n
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Coscinodiscophyceae,Asterolamprales,Asterolamprales,Asteromphalus,Asteromphalus_sp.,y,y,y
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Mediophyceae,Chaetocerotales,Chaetocerotales,Attheya,Attheya_decora,n,y,n
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Coscinodiscophyceae,Coscinodiscales,Coscinodiscales,Aulacodiscus,Aulacodiscus_oreganus,y,y,y
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariales,Bacillariales,Bacillariales,y,y,y
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Bacillariophyceae,Bacillariophyceae,Bacillariophyceae,Bacillariophyceae,y,y,y
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyta,Bacillariophyta,Bacillariophyta,Bacillariophyta,Bacillariophyta,y,y,y
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculales,Berkeleya,Berkeleya,y,y,y
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculales,Berkeleya,Berkeleya_fennica,n,y,n
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculales,Caloneis,Caloneis_sp.,y,y,y
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Mediophyceae,Hemiaulales,Hemiaulales,Cerataulina,Cerataulina_pelagica,y,y,y
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Mediophyceae,Chaetocerotales,Chaetocerotales,Chaetoceros,Chaetoceros,y,y,y
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Mediophyceae,Chaetocerotales,Chaetocerotales,Chaetoceros,Chaetoceros_contortus,y,y,y
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Mediophyceae,Chaetocerotales,Chaetocerotales,Chaetoceros,Chaetoceros_debilis,y,y,y
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Mediophyceae,Chaetocerotales,Chaetocerotales,Chaetoceros,Chaetoceros_diadema,y,y,y
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Mediophyceae,Chaetocerotales,Chaetocerotales,Chaetoceros,Chaetoceros_lorenzianus,y,y,y
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthales,Cocconeis,Cocconeis,y,y,y
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Coscinodiscophyceae,Coscinodiscophyceae,Coscinodiscophyceae,Coscinodiscophyceae,Coscinodiscophyceae,n,y,n
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Coscinodiscophyceae,Coscinodiscales,Coscinodiscales,Coscinodiscus,Coscinodiscus_granii,y,y,y
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Coscinodiscophyceae,Coscinodiscales,Coscinodiscales,Coscinodiscus,Coscinodiscus_radiatus,y,y,y
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Mediophyceae,Thalassiosirales,Thalassiosirales,Cyclotella,Cyclotella_choctawhatcheeana,n,y,n
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Mediophyceae,Thalassiosirales,Thalassiosirales,Cyclotella,Cyclotella_stylorum,n,y,n
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariales,Cylindrotheca,Cylindrotheca,y,y,y
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariales,Cylindrotheca,Cylindrotheca_closterium,y,y,y
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariales,Cylindrotheca,Cylindrotheca_sp.,y,y,y
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellales,Cymbellales,Cymbellales,y,y,y
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Mediophyceae,Thalassiosirales,Thalassiosirales,Detonula,Detonula_pumila,y,y,y
Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculales,Diploneis,Diploneis,y,y,y
