"","Domain","Phylum","Class","Order","Family","Genus","Species","InSeagrass","InMark"
"1","Eukaryota","Choanoflagellida","Acanthoecida","Acanthoecidae","Acanthoecidae_fa","FV23-1A4","FV23-1A4","y","n"
"2","Eukaryota","Cnidaria","Hydrozoa","Anthoathecata","Anthoathecata","Anthoathecata","Anthoathecata","y","y"
"3","Eukaryota","Arthropoda","Arachnida","Arachnida","Arachnida","Arachnida","Arachnida","y","n"
"4","Eukaryota","Arthropoda","Arthropoda","Arthropoda","Arthropoda","Arthropoda","Arthropoda","y","y"
"5","Eukaryota","Ochrophyta","Diatomea","Bacillariophytina","Bacillariophyceae","Achnanthidium","Achnanthidium","y","y"
"6","Eukaryota","Ochrophyta","Diatomea","Bacillariophytina","Bacillariophyceae","Amphora","Amphora","y","y"
"7","Eukaryota","Ochrophyta","Diatomea","Bacillariophytina","Mediophyceae","Arcocellulus","Arcocellulus","y","n"
"8","Eukaryota","Ochrophyta","Diatomea","Bacillariophytina","Bacillariophyceae","Bacillaria","Bacillaria","y","y"
"9","Eukaryota","Ochrophyta","Diatomea","Bacillariophytina","Bacillariophyceae","Bacillariophyceae","Bacillariophyceae","y","y"
"10","Eukaryota","Ochrophyta","Diatomea","Bacillariophytina","Bacillariophytina","Bacillariophytina","Bacillariophytina","y","y"
"11","Eukaryota","Ochrophyta","Diatomea","Bacillariophytina","Mediophyceae","Chaetoceros","Chaetoceros","y","y"
"12","Eukaryota","Ochrophyta","Diatomea","Bacillariophytina","Bacillariophyceae","Cylindrotheca","Cylindrotheca","y","y"
"13","Eukaryota","Ochrophyta","Diatomea","Bacillariophytina","Mediophyceae","Discostella","Discostella","y","n"
"14","Eukaryota","Ochrophyta","Diatomea","Bacillariophytina","Bacillariophyceae","Fistulifera","Fistulifera","y","n"
"15","Eukaryota","Ochrophyta","Diatomea","Bacillariophytina","Bacillariophyceae","Gyrosigma","Gyrosigma","y","n"
"16","Eukaryota","Ochrophyta","Diatomea","Bacillariophytina","Bacillariophyceae","Haslea","Haslea","y","n"
"17","Eukaryota","Ochrophyta","Diatomea","Bacillariophytina","Mediophyceae","Mediophyceae","Mediophyceae","y","y"
"18","Eukaryota","Ochrophyta","Diatomea","Bacillariophytina","Bacillariophyceae","Navicula","Navicula","y","y"
"19","Eukaryota","Ochrophyta","Diatomea","Bacillariophytina","Bacillariophyceae","Nitzschia","Nitzschia","y","y"
"20","Eukaryota","Ochrophyta","Diatomea","Bacillariophytina","Mediophyceae","Odontella","Odontella","y","y"
"21","Eukaryota","Ochrophyta","Diatomea","Bacillariophytina","Bacillariophyceae","Phaeodactylum","Phaeodactylum","y","y"
"22","Eukaryota","Ochrophyta","Diatomea","Bacillariophytina","Bacillariophyceae","Pinnularia","Pinnularia","y","n"
"23","Eukaryota","Ochrophyta","Diatomea","Bacillariophytina","Bacillariophyceae","Placoneis","Placoneis","y","n"
"24","Eukaryota","Ochrophyta","Diatomea","Bacillariophytina","Bacillariophyceae","Pleurosigma","Pleurosigma","y","y"
"25","Eukaryota","Ochrophyta","Diatomea","Bacillariophytina","Mediophyceae","Porosira","Porosira","y","y"
"26","Eukaryota","Ochrophyta","Diatomea","Bacillariophytina","Mediophyceae","Skeletonema","Skeletonema","y","y"
"27","Eukaryota","Ochrophyta","Diatomea","Bacillariophytina","Bacillariophyceae","Stauroneis","Stauroneis","y","y"
"28","Eukaryota","Ochrophyta","Diatomea","Bacillariophytina","Mediophyceae","Thalassiosira","Thalassiosira","y","y"
"29","Eukaryota","Mollusca","Gastropoda","Caenogastropoda","Caenogastropoda","Caenogastropoda","Caenogastropoda","y","y"
"30","Eukaryota","Ascomycota","Dothideomycetes","Capnodiales","Cladosporiaceae","Cladosporium","Cladosporium","y","n"
"31","Eukaryota","Cercozoa","Cercozoa","Cercozoa","Cercozoa","Cercozoa","Cercozoa","y","y"
"32","Eukaryota","Ochrophyta","Raphidophyceae","Chattonellales","Chattonellales_fa","Heterosigma","Heterosigma","y","n"
