library,sample_id,target,PlantNumber,LeafNumber,LeafSection,SwabID,PowerSoilDate,PowerSoilID,FieldNotes,LabNotes,Aliquot_plate_well,Normalized_aliquot_plate_well,primer_18S_combo,primer_RBCL_combo,primer_16S_FW,primer_16S_RV,PCR_plate_position_aug31_and_sept1,picogreen_well_id,absorbance,DNA_ng_C1_DNA_normalization,V2_DNA_normalization,C2_DNA_normalization,V1_DNA_normalization_uL,vol_water_for_normalization_uL,DateCollected,SampleTimeStart,SwabTimeStart,SwabTimeEnd
lib2021,1-3-B-16S,16S,1,3,B,1-3-B,3/16/2021,1,started at sampling left - if facing shore the left side of beach,"CD1 buffer from EA, make sure order (B/M/T) is right with sequencing, white MB columns, EA 1.5 mL tubes",1A,1A,1A,1A,1A,1A,1A,2A,8,2.198429586,10,0.400245752,1.820598461,8.179401539,3/7/2021,18:00,18:30,19:45
lib2021,1-3-M-16S,16S,1,3,M,1-3-M,3/16/2021,2,,"CD1 buffer from EA, make sure order (B/M/T) is right with sequencing, white MB columns, EA 1.5 mL tubes",1B,1B,1B,1B,1B,1B,1B,2B,6,1.599034975,10,0.400245752,2.503045639,7.496954361,3/7/2021,18:00,18:30,19:45
lib2021,1-3-T-16S,16S,1,3,T,1-3-T,3/16/2021,3,,"CD1 buffer from EA, make sure order (B/M/T) is right with sequencing, white MB columns, EA 1.5 mL tubes",1C,1C,1C,1C,1C,1C,1C,2C,1,0.100548446,10,0.400245752,39.80625936,-29.80625936,3/7/2021,18:00,18:30,19:45
lib2021,3-3-B-16S,16S,3,3,B,3-3-B,4/17/2021,7,,"flo: Bead tubes, CD1 buffer. Emily: CD3",2A,2A,2A,2A,2A,2A,2A,2D,2,0.400245752,10,0.400245752,10,0,3/7/2021,18:00,18:30,19:45
lib2021,3-3-M-16S,16S,3,3,M,3-3-M,4/17/2021,8,,"flo: Bead tubes, CD1 buffer. Emily: CD3",2B,2B,2B,2B,2B,2B,2B,2E,11,3.097521503,10,0.400245752,1.292148421,8.707851579,3/7/2021,18:00,18:30,19:45
lib2021,3-3-T-16S,16S,3,3,T,3-3-T,4/17/2021,9,,"flo: Bead tubes, CD1 buffer. Emily: CD3",2C,2C,2C,2C,2C,2C,2C,2F,1,0.100548446,10,0.400245752,39.80625936,-29.80625936,3/7/2021,18:00,18:30,19:45
lib2021,4-2-B-16S,16S,4,2,B,4-2-B,4/17/2021,10,,"flo: Bead tubes, CD1 buffer. Emily: CD3",3A,3A,3A,3A,3A,3A,3A,2G,6,1.599034975,10,0.400245752,2.503045639,7.496954361,3/7/2021,18:00,18:30,19:45
lib2021,4-2-M-16S,16S,4,2,M,4-2-M,4/17/2021,11,,"flo: Bead tubes, CD1 buffer. Emily: CD3",3B,3B,3B,3B,3B,3B,3B,2H,7,1.89873228,10,0.400245752,2.107963067,7.892036933,3/7/2021,18:00,18:30,19:45
lib2021,4-2-T-16S,16S,4,2,T,4-2-T,4/17/2021,12,,"flo: Bead tubes, CD1 buffer. Emily: CD3",3C,3C,3C,3C,3C,3C,3C,3A,6,1.599034975,10,0.400245752,2.503045639,7.496954361,3/7/2021,18:00,18:30,19:45
lib2021,5-3-B-16S,16S,5,3,B,5-3-B,3/16/2021,13,,"CD1 buffer from EA, white MB columns, EA 1.5 mL tubes",4A,4A,4A,4A,4A,4A,4A,3B,3,0.699943058,10,0.400245752,5.718261613,4.281738387,3/7/2021,18:00,18:30,19:45
lib2021,5-3-M-16S,16S,5,3,M,5-3-M,3/16/2021,14,,"CD1 buffer from EA, white MB columns, EA 1.5 mL tubes",4B,4B,4B,4B,4B,4B,4B,3C,5,1.299337669,10,0.400245752,3.080382887,6.919617113,3/7/2021,18:00,18:30,19:45
lib2021,5-3-T-16S,16S,5,3,T,5-3-T,3/16/2021,15,,"CD1 buffer from EA, EA 1.5 mL tubes",4C,4C,4C,4C,4C,4C,4C,3D,8,2.198429586,10,0.400245752,1.820598461,8.179401539,3/7/2021,18:00,18:30,19:45
lib2021,6-2-B-16S,16S,6,2,B,6-2-B,3/16/2021,16,,"CD1 buffer from EA, EA 1.5 mL tubes",5A,5A,5A,5A,5A,5A,5A,3E,2,0.400245752,10,0.400245752,10,0,3/7/2021,18:00,18:30,19:45
lib2021,6-2-M-16S,16S,6,2,M,6-2-M,3/16/2021,17,,"CD1 buffer from EA, dropped swab on counter",5B,5B,5B,5B,5B,5B,5B,3F,3,0.699943058,10,0.400245752,5.718261613,4.281738387,3/7/2021,18:00,18:30,19:45
