"","Genus","sum.mol.ra","mean.mol.ra","n.mol.samples","in18S","inRBCL","one_sample","sum.sem.counts","n.sem.samples","mean.sem.count","in_counts"
"1","Achnanthales",1.42126597872456,0.00136791720762711,72,"yes","yes","no",NA,NA,NA,NA
"2","Achnanthes",0,0,29,"yes","no","no",64,17,3.76470588235294,"yes"
"3","Achnanthidium",0.0819092580084512,0.000137894373751601,72,"yes","yes","no",NA,NA,NA,NA
"4","Amphora",0.246185665993036,0.000116952810447998,72,"yes","yes","no",38,17,2.23529411764706,"yes"
"5","Arcocellulus",0.000487569587541499,6.77179982696526e-06,72,"yes","yes","no",NA,NA,NA,NA
"6","Asteromphalus",0.00482275350370981,0.00011215705822581,43,"no","yes","yes",NA,NA,NA,"excluded"
"7","Attheya",0.0268004691637896,0.000131374848842106,72,"yes","yes","no",0,17,0,"excluded"
"8","Bacillaria",0.0154870762401018,0.000133509277931912,29,"yes","no","no",8,17,0.470588235294118,"yes"
"9","Bacillariales",0.16828212665215,0.000107322784854687,43,"no","yes","no",NA,NA,NA,NA
"10","Bacillariophyceae",6.56998690196368,0.000467881135305774,72,"yes","yes","no",NA,NA,NA,NA
"11","Bacillariophyta",0.0578962969793521,1.32789671970991e-05,43,"no","yes","no",NA,NA,NA,NA
"12","Bacillariophytina",0.00202138448894553,9.95755905884499e-06,29,"yes","no","no",NA,NA,NA,NA
"13","Berkeleya",0.00413953389066343,2.61995815864774e-05,72,"yes","yes","no",NA,NA,NA,NA
"14","Chaetoceros",0.125191118752218,9.79586218718452e-05,72,"yes","yes","no",2,17,0.117647058823529,"yes"
"15","Chaetocerotales",0.00997936135128572,0.000216942638071429,23,"no","yes","no",NA,NA,NA,NA
"16","Cocconeis",0.0115876010338008,0.00013473954690466,43,"no","yes","no",13832,17,813.647058823529,"yes"
"17","Cocconeis_sister",7.90302620768399,0.0227098454243793,29,"yes","no","no",NA,NA,NA,NA
"18","Coscinodiscophyceae",0,0,43,"no","yes","no",NA,NA,NA,NA
"19","Coscinodiscophytina",0,0,29,"yes","no","no",NA,NA,NA,NA
"20","Coscinodiscus",0.000535861500412201,2.49237907168466e-06,43,"no","yes","yes",15,17,0.882352941176471,"yes"
"21","Cylindrotheca",0.928226217332638,0.000991694676637434,72,"yes","yes","no",165,17,9.70588235294118,"yes"
"22","Cymbellales",0.00461505480349928,2.14653711790664e-05,43,"no","yes","no",NA,NA,NA,NA
"23","Diatomea",0.14675658894523,0.000126514300814853,29,"yes","no","no",NA,NA,NA,NA
"24","Dimeregramma",0.000112091130088762,1.93260569118555e-06,29,"yes","no","yes",0,17,0,"excluded"
"25","Diploneis",0.0116601727129874,3.87381153255397e-05,43,"no","yes","no",3,17,0.176470588235294,"yes"
"26","Ditylum",0,0,43,"no","yes","yes",0,17,0,"excluded"
"27","Ellerbeckia",0.000696527721818996,1.61983191120697e-06,43,"no","yes","yes",2,17,0.117647058823529,"yes"
"28","Entomoneis",0.000203165173285881,1.41086925892973e-06,72,"yes","yes","yes",0,17,0,"excluded"
"29","Extubocellulus",0.0178746641919631,0.000103922466232344,43,"no","yes","no",NA,NA,NA,NA
"30","Fallacia",0.00346611307798406,1.612145617667e-05,43,"no","yes","no",0,17,0,"excluded"
"31","Fistulifera",0.00271705629166787,4.68457981322047e-05,29,"yes","no","no",NA,NA,NA,NA
"32","Fragilariales",0.00797009257290079,1.06409780679583e-05,72,"yes","yes","no",NA,NA,NA,NA
"33","Fragilariophyceae",0.0476992771839753,3.41685366647387e-05,43,"no","yes","no",NA,NA,NA,NA
"34","Fragilariopsis",0,0,72,"yes","yes","yes",0,17,0,"excluded"
"35","Gedaniella",0.0196584567159518,3.04782274665919e-05,43,"no","yes","no",NA,NA,NA,NA
"36","Gomphonemopsis",6.6175762826066e-05,2.19853032644738e-07,43,"no","yes","yes",820,17,48.2352941176471,"yes"
"37","Grammatophora",0,0,29,"yes","no","yes",0,17,0,"excluded"
"38","Grammonema",0.00101585150511764,8.75734056135895e-06,29,"yes","no","no",NA,NA,NA,NA
"39","Gyrosigma",0.00271541431695889,2.68852902669197e-05,72,"yes","yes","no",0,17,0,"excluded"
"40","Halamphora",0.017047947366179,1.17978874506429e-05,43,"no","yes","no",64,17,3.76470588235294,"yes"
"41","Haslea",0.17839237794242,0.000311874786612622,72,"yes","yes","no",0,17,0,"excluded"
"42","Hyalodiscus",0.0292348051387982,0.000101863432539367,72,"yes","yes","no",3,17,0.176470588235294,"yes"
"43","Leptocylindrus",0.000307648854113539,2.38487483808945e-06,43,"no","yes","yes",0,17,0,"excluded"
"44","Licmophora",0.0414282302793306,9.58986812021541e-05,72,"yes","yes","no",8,17,0.470588235294118,"yes"
"45","Lyrella",0.000645260917042609,3.75151695955005e-06,43,"no","yes","yes",0,17,0,"excluded"
"46","Mediophyceae",0.0305891464133717,5.01461416612651e-05,72,"yes","yes","no",NA,NA,NA,NA
"47","Melosira",0.0490086935071965,0.00012534192712838,72,"yes","yes","no",0,17,0,"excluded"
"48","Melosirids",0.00020185708518369,2.32019638142172e-06,29,"yes","no","no",NA,NA,NA,NA
"49","Minidiscus",0.523020971397441,0.00405442613486389,43,"no","yes","no",39,17,2.29411764705882,"yes"
"50","Navicula",19.0674999620458,0.00131982418232476,72,"yes","yes","no",1335,17,78.5294117647059,"yes"
"51","Naviculales",0.378204719056112,5.85093934183342e-05,43,"no","yes","no",NA,NA,NA,NA
"52","Nitzschia",2.39549776869843,0.000378854621018255,72,"yes","yes","no",396,17,23.2941176470588,"yes"
"53","Odontella",0.488802000484632,0.000756659443474663,72,"yes","yes","no",0,17,0,"excluded"
"54","Paralia",0.0001786205001374,4.15396511947443e-06,43,"no","yes","yes",0,17,0,"excluded"
"55","Phaeodactylum",0.00980018150200616,0.000112645764390875,29,"yes","no","no",NA,NA,NA,NA
"56","Pinnularia",0.00170017120445971,1.07605772434159e-05,72,"yes","yes","no",NA,NA,NA,NA
"57","Plagiogramma",0.000144841820661686,2.01169195363452e-06,72,"yes","yes","yes",0,17,0,"excluded"
"58","Planothidium",0.0120238536614546,0.000110310584050042,43,"no","yes","no",110,17,6.47058823529412,"yes"
"59","Pleurosigma",0.257511977824307,0.000208343024129699,72,"yes","yes","no",1,17,0.0588235294117647,"yes"
"60","Proschkinia",0.0150924203317642,4.62957678888472e-05,43,"no","yes","no",0,17,0,"excluded"
"61","Psammodictyon",0.000136189972527067,8.61961851437133e-07,72,"yes","yes","yes",0,17,0,"excluded"
"62","Pseudo-nitzschia",0,0,43,"no","yes","yes",14,17,0.823529411764706,"yes"
"63","Pseudogomphonema",1.25685675170751,0.00243576889865797,43,"no","yes","no",154,17,9.05882352941176,"yes"
"64","Rhabdonema",0.000637006672992442,2.81861359731169e-06,52,"yes","yes","no",0,17,0,"excluded"
"65","Rhizosolenia",0.000961802693047541,1.11837522447388e-05,43,"no","yes","yes",1,17,0.0588235294117647,"yes"
"66","Seminavis",0.0491534719328729,8.12454081535089e-05,43,"no","yes","no",NA,NA,NA,NA
"67","Serratifera",0.00108555455460644,4.20757579304822e-06,43,"no","yes","no",NA,NA,NA,NA
"68","Skeletonema",0.142725621036317,0.000194980356606991,72,"yes","yes","no",42,17,2.47058823529412,"yes"
"69","Stauroneis",0.0223926563744959,0.000154432112927558,29,"yes","no","no",NA,NA,NA,NA
"70","Stephanopyxis",0.000891131446961822,6.14573411697808e-06,29,"yes","no","no",NA,NA,NA,NA
"71","Sternimirus",0.00108624475449925,1.26307529592937e-05,43,"no","yes","no",NA,NA,NA,NA
"72","Surirellales",0,0,43,"no","yes","no",NA,NA,NA,NA
"73","Tabularia",3.74254177229704,0.00458644825036402,72,"yes","yes","no",11264,17,662.588235294118,"yes"
"74","Thalassiophysales",0.000918196366864097,1.45745455057793e-05,43,"no","yes","no",NA,NA,NA,NA
"75","Thalassiosira",0.809164409745571,0.000301364770854961,72,"yes","yes","no",48,17,2.82352941176471,"yes"
"76","Thalassiosirales",0.743989907243483,0.00123586363329482,43,"no","yes","no",NA,NA,NA,NA
"77","Trachyneis",0,0,43,"no","yes","yes",0,17,0,"excluded"
"78","Tryblionella",0.0203350611291855,6.16213973611683e-05,72,"yes","yes","no",0,17,0,"excluded"
"79","Encyonema",NA,NA,NA,NA,NA,NA,0,17,0,"excluded"
"80","Epithemia",NA,NA,NA,NA,NA,NA,0,17,0,"excluded"
"81","Eucampia",NA,NA,NA,NA,NA,NA,1,17,0.0588235294117647,"yes"
"82","Eupyxidicula",NA,NA,NA,NA,NA,NA,0,17,0,"excluded"
"83","Fogedia",NA,NA,NA,NA,NA,NA,0,17,0,"excluded"
"84","Gomphoseptatum",NA,NA,NA,NA,NA,NA,2,17,0.117647058823529,"yes"
"85","Hanzschia",NA,NA,NA,NA,NA,NA,0,17,0,"excluded"
"86","Opephora",NA,NA,NA,NA,NA,NA,0,17,0,"excluded"
"87","Pariraphis",NA,NA,NA,NA,NA,NA,607,17,35.7058823529412,"yes"
"88","Petroneis",NA,NA,NA,NA,NA,NA,0,17,0,"excluded"
"89","Plagiotropis",NA,NA,NA,NA,NA,NA,100,17,5.88235294117647,"yes"
"90","Podosira",NA,NA,NA,NA,NA,NA,0,17,0,"excluded"
"91","Rhoicosphenia",NA,NA,NA,NA,NA,NA,567,17,33.3529411764706,"yes"
"92","Trigonium",NA,NA,NA,NA,NA,NA,0,17,0,"excluded"
"93","Synedra",NA,NA,NA,NA,NA,NA,0,17,0,"excluded"
"94","Parlibellus",0.09181825,0.0001334568,43,"no","yes","no",0,17,0,"excluded"
"95","Asteromphalus",0.004822754,0.0001121571,43,"no","yes","yes",0,17,0,"excluded"
"96","Eunotia",0,0,0,"no","no","no",0,17,0,"excluded"
"97","Fragilaria",0,0,0,"yes","no","no",0,17,0,"excluded"
