illumina_id,leaf_number,leaf_section,rd_uf,rd_filt
10-B-18S_S122,2,B,143399,135304
11-M-18S_S123,3,M,258455,187731
11-T-18S_S322,3,T,25325,15893
1-3-B-18S,3,B,2203,1843
1-3-T-18S,3,T,114899,111740
1-M-18S_S109,3,M,125192,117981
3-3-B-18S,3,B,82887,79943
3-3-M-18S,3,M,1672,1655
3-3-T-18S,3,T,1743,1551
4-2-B-18S,2,B,1942,1881
4-2-M-18S,2,M,64461,63529
4-2-T-18S,2,T,20117,17952
5-3-B-18S,3,B,6567,6501
5-3-M-18S,3,M,39380,36626
5-T-18S_S121,3,T,34705,32636
6-2-B-18S,2,B,228415,223149
6-2-M-18S,2,M,122380,118915
6-2-T-18S,2,T,185929,183377
7-3-B-18S,3,B,52042,51288
7-3-T-18S,3,T,1342,1327
8-B-18S_S332,2,B,109283,106017
9-M-18S_S333,3,M,29553,29130
9-T-18S_S321,3,T,7988,7802
