,plant_id,leaf_number,leaf_section,rd_uf,rd_filt
1-3-B-18S,1,3,B,2227,2182
1-3-T-18S,1,3,T,116838,116160
1-M-18S_S109,1,3,M,125461,124615
3-3-B-18S,3,3,B,82887,82816
3-3-M-18S,3,3,M,1672,1655
3-3-T-18S,3,3,T,1794,1776
4-2-B-18S,4,2,B,1974,1953
4-2-M-18S,4,2,M,123666,123290
4-2-T-18S,4,2,T,20832,20718
5-3-B-18S,5,3,B,7238,7209
5-3-M-18S,5,3,M,42826,42705
5-T-18S_S121,5,3,T,34736,34026
6-2-B-18S,6,2,B,231770,231359
6-2-M-18S,6,2,M,124464,124214
6-2-T-18S,6,2,T,186888,186629
7-3-B-18S,7,3,B,292400,292114
7-3-M-18S,7,3,M,2547,2499
7-3-T-18S,7,3,T,1361,1346
8-B-18S_S332,8,2,B,125203,124883
9-M-18S_S333,9,3,M,29927,29539
9-T-18S_S321,9,3,T,8061,7875
10-B-18S_S122,10,2,B,146003,144431
11-M-18S_S123,11,3,M,258593,257315
11-T-18S_S322,11,3,T,25333,25034
extraction_blank_18S_S102,extraction_blank_18S_S102,NA,NA,3459,3457
