,plant_id,leaf_number,leaf_section,rd_uf,rd_filt
1-M-RBCL_S137,1,3,M,3823,3757
1-3-B-RBCL,1,3,B,58240,58136
1-3-T-RBCL,1,3,T,172895,172745
3-3-B-RBCL,3,3,B,89768,89734
3-3-M-RBCL,3,3,M,181334,181200
3-3-T-RBCL,3,3,T,105907,105848
4-2-B-RBCL,4,2,B,123701,123592
4-2-M-RBCL,4,2,M,67016,66995
4-2-T-RBCL,4,2,T,3674,3645
5-3-B-RBCL,5,3,B,73381,73331
5-3-M-RBCL,5,3,M,85365,85299
5-3-T-RBCL,5,3,T,70766,70734
6-B-RBCL_S149,6,2,B,7933,7871
6-2-M-RBCL,6,2,M,21613,21598
6-2-T-RBCL,6,2,T,107448,107331
7-3-B-RBCL,7,3,B,129342,129136
7-3-M-RBCL,7,3,M,105916,105727
7-3-T-RBCL,7,3,T,65233,65177
8-M-RBCL_S173,8,2,M,8462,8405
8-T-RBCL_S185,8,2,T,176259,175803
9-B-RBCL_S126,9,3,B,72830,72588
9-M-RBCL_S138,9,3,M,52457,52234
9-T-RBCL_S150,9,3,T,108588,108023
10-B-RBCL_S162,10,2,B,162291,161897
10-M-RBCL_S174,10,2,M,81923,81817
10-T-RBCL_S186,10,2,T,200283,199968
11-B-RBCL_S127,11,3,B,166376,166120
11-M-RBCL_S139,11,3,M,78555,78276
11-T-RBCL_OR_9_SHW_oct_28_2020_S151,11,3,T,72942,72632
