"image_num","folder","file_name","box","blade_position","grid_position","under_review","suggested_id","Navicula","Tabularia","Cylindrotheca","Pseudonitzschia","Gomphonemopsis","Hyalodiscus","Coscinodiscus","Plagiotropis","Nitzschia","Rhoicosphenia","Pseudogomphonema","Thalassiosira","Eucampia","Chaetoceros","Diploneis","Entomoneis","Pariraphis","Planothidium","Halamphora","Achnanthes","Amphora","Petroneis","Bacillaria","Ellerbeckia","Minidiscus","Fragilariopsis","Rhizosolenia","Fogedia","Skeletonema","Pleurosigma","Gomphoseptatum","Licmophora","Cocconeis","Actinoptychus","Attheya","Cyclotella","Dimeregramma","Ditylum","Donkinia","Epithemia","Eupyxidicula","Encyonema","Fallacia","Grammatophora","Gyrosigma","Hanzschia","Haslea","Hobaniella","Leptocylindrus","Lyrella","Melosira","Odontella","Opephora","Paralia","Paribellus","Plagiogramma","Podosira","Psammodictyon","Rhabdonema","Rhopalodia","Trigonium","Trachyneis","Tryblionella","Undatella","total"
3,"eelgrass_images_counted","Box 9 P En Mar 7 2021 T16 stb 16-(x500)002(x500)","9","proximal","A1",0,"",2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
3,"eelgrass_images_counted","Box 9 P En Mar 7 2021 T16 stb 16-(x500)002(x500)","9","proximal","B1",0,"",8,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
3,"eelgrass_images_counted","Box 9 P En Mar 7 2021 T16 stb 16-(x500)002(x500)","9","proximal","C1",0,"",2,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
3,"eelgrass_images_counted","Box 9 P En Mar 7 2021 T16 stb 16-(x500)002(x500)","9","proximal","A2",0,"",2,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
3,"eelgrass_images_counted","Box 9 P En Mar 7 2021 T16 stb 16-(x500)002(x500)","9","proximal","B2",0,"",5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
3,"eelgrass_images_counted","Box 9 P En Mar 7 2021 T16 stb 16-(x500)002(x500)","9","proximal","C2",0,"",6,13,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27
3,"eelgrass_images_counted","Box 9 P En Mar 7 2021 T16 stb 16-(x500)002(x500)","9","proximal","A3",0,"",1,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
3,"eelgrass_images_counted","Box 9 P En Mar 7 2021 T16 stb 16-(x500)002(x500)","9","proximal","B3",0,"",2,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
3,"eelgrass_images_counted","Box 9 P En Mar 7 2021 T16 stb 16-(x500)002(x500)","9","proximal","C3",0,"",0,14,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27
5,"eelgrass_images_counted","Box 9 P En Mar 7 2021 T16 stb 16-(x500)005(x500)","9","proximal","A1",0,"",3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
