image_num,folder,file_name,box,blade_position,grid_position,under_review,suggested_id,cocconeis_small,cocconeis_big,navicula,tabularia,cylindrotheca,pseudo_nitzschia,gomphonemopsis,hyalodiscus,coscinodiscus,plagiotropis,nitzschia,rhoicosphenia,pseudogonphonema,thalassiosira,eucampia,chaetoceros,diploneis,entomoneis,pariraphis_like,planothidium,halamphora,achnanthes,amphora,petroneis,bacillaria,ellerbeckia,minidiscus,fragilariopsis,rhizosolenia,fogedia,skeletonema,pleurosigma,gomphoseptatum,licmophora,total
1,eelgrass_images_counted,Proximal En Mar 7-2021 Zm-MHMPP-Box 0_stb 8 AVA-May 10-2023_001b(x500)_02(x500).tif,0_8_3Mc,proximal,A1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
1,eelgrass_images_counted,Proximal En Mar 7-2021 Zm-MHMPP-Box 0_stb 8 AVA-May 10-2023_001b(x500)_02(x500).tif,0_8_3Mc,proximal,B1,,,1,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
1,eelgrass_images_counted,Proximal En Mar 7-2021 Zm-MHMPP-Box 0_stb 8 AVA-May 10-2023_001b(x500)_02(x500).tif,0_8_3Mc,proximal,C1,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
1,eelgrass_images_counted,Proximal En Mar 7-2021 Zm-MHMPP-Box 0_stb 8 AVA-May 10-2023_001b(x500)_02(x500).tif,0_8_3Mc,proximal,A2,,,2,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
1,eelgrass_images_counted,Proximal En Mar 7-2021 Zm-MHMPP-Box 0_stb 8 AVA-May 10-2023_001b(x500)_02(x500).tif,0_8_3Mc,proximal,B2,,,,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
1,eelgrass_images_counted,Proximal En Mar 7-2021 Zm-MHMPP-Box 0_stb 8 AVA-May 10-2023_001b(x500)_02(x500).tif,0_8_3Mc,proximal,C2,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
1,eelgrass_images_counted,Proximal En Mar 7-2021 Zm-MHMPP-Box 0_stb 8 AVA-May 10-2023_001b(x500)_02(x500).tif,0_8_3Mc,proximal,A3,,,5,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
1,eelgrass_images_counted,Proximal En Mar 7-2021 Zm-MHMPP-Box 0_stb 8 AVA-May 10-2023_001b(x500)_02(x500).tif,0_8_3Mc,proximal,B3,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
1,eelgrass_images_counted,Proximal En Mar 7-2021 Zm-MHMPP-Box 0_stb 8 AVA-May 10-2023_001b(x500)_02(x500).tif,0_8_3Mc,proximal,C3,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,2
2,eelgrass_images_counted,Proximal En Mar 7-2021 Zm-MHMPP-Box 0_stb 8 AVA-May 10-2023_001b(x500)_09(x500),0_8_3Mc,proximal,A1,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
2,eelgrass_images_counted,Proximal En Mar 7-2021 Zm-MHMPP-Box 0_stb 8 AVA-May 10-2023_001b(x500)_09(x500),0_8_3Mc,proximal,B1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1
2,eelgrass_images_counted,Proximal En Mar 7-2021 Zm-MHMPP-Box 0_stb 8 AVA-May 10-2023_001b(x500)_09(x500),0_8_3Mc,proximal,C1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
