image_num,folder,file_name,box,blade_position,grid_position,under_review,suggested_id,cocconeis_small,cocconeis_big,navicula,tabularia,cylindrotheca,pseudo_nitzschia,gomphonemopsis,hyalodiscus,coscinodiscus,plagiotropis,nitzschia,rhoicosphenia,pseudogonphonema,thalassiosira,eucampia,chaetoceros,diploneis,entomoneis,pariraphis_like,planothidium,halamphora,achnanthes,amphora,petroneis,bacillaria,ellerbeckia,minidiscus,fragilariopsis,rhizosolenia,fogedia,skeletonema,pleurosigma,gomphoseptatum,licmophora,total
1,eelgrass_images_counted,Box 12A Mar 7-2021-stb T11ENM (500x) HM (July 18 2023)_03(x500),12A_T11,medial,A1,,,13,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,14
1,eelgrass_images_counted,Box 12A Mar 7-2021-stb T11ENM (500x) HM (July 18 2023)_03(x500),12A_T11,medial,B1,,,12,1,,1,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,14
1,eelgrass_images_counted,Box 12A Mar 7-2021-stb T11ENM (500x) HM (July 18 2023)_03(x500),12A_T11,medial,C1,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,12
1,eelgrass_images_counted,Box 12A Mar 7-2021-stb T11ENM (500x) HM (July 18 2023)_03(x500),12A_T11,medial,A2,,,11,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,12
1,eelgrass_images_counted,Box 12A Mar 7-2021-stb T11ENM (500x) HM (July 18 2023)_03(x500),12A_T11,medial,B2,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,19
1,eelgrass_images_counted,Box 12A Mar 7-2021-stb T11ENM (500x) HM (July 18 2023)_03(x500),12A_T11,medial,C2,,,16,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,17
1,eelgrass_images_counted,Box 12A Mar 7-2021-stb T11ENM (500x) HM (July 18 2023)_03(x500),12A_T11,medial,A3,,,10,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,11
1,eelgrass_images_counted,Box 12A Mar 7-2021-stb T11ENM (500x) HM (July 18 2023)_03(x500),12A_T11,medial,B3,,,19,,,,,,,,,,,2,,,,,,,,,,,,,,,0,,,,,,,,21
1,eelgrass_images_counted,Box 12A Mar 7-2021-stb T11ENM (500x) HM (July 18 2023)_03(x500),12A_T11,medial,C3,,,17,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,18
2,eelgrass_images_counted,Box 12A Mar 7-2021-stb T11ENM (500x) HM (July 18 2023)_04(x500),12A_T11,medial,A1,,,14,1,,3,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,18
2,eelgrass_images_counted,Box 12A Mar 7-2021-stb T11ENM (500x) HM (July 18 2023)_04(x500),12A_T11,medial,B1,,,10,1,,13,,,,,,,,,1,,,,,,,,,,,,,,0,,,,,,,,25
2,eelgrass_images_counted,Box 12A Mar 7-2021-stb T11ENM (500x) HM (July 18 2023)_04(x500),12A_T11,medial,C1,,,16,,,10,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,26
2,eelgrass_images_counted,Box 12A Mar 7-2021-stb T11ENM (500x) HM (July 18 2023)_04(x500),12A_T11,medial,A2,,,13,3,,6,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,22
2,eelgrass_images_counted,Box 12A Mar 7-2021-stb T11ENM (500x) HM (July 18 2023)_04(x500),12A_T11,medial,B2,,,14,,,3,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,17
2,eelgrass_images_counted,Box 12A Mar 7-2021-stb T11ENM (500x) HM (July 18 2023)_04(x500),12A_T11,medial,C2,,,8,2,,3,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,13
2,eelgrass_images_counted,Box 12A Mar 7-2021-stb T11ENM (500x) HM (July 18 2023)_04(x500),12A_T11,medial,A3,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,15
2,eelgrass_images_counted,Box 12A Mar 7-2021-stb T11ENM (500x) HM (July 18 2023)_04(x500),12A_T11,medial,B3,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,10
2,eelgrass_images_counted,Box 12A Mar 7-2021-stb T11ENM (500x) HM (July 18 2023)_04(x500),12A_T11,medial,C3,,,18,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,19
3,eelgrass_images_counted,Box 12A Mar 7-2021-stb T11ENM (500x) HM (July 18 2023)_05(x500),12A_T11,medial,A1,,,19,,,3,,,,,,,,,,,,,,,,,,,1,,,,0,,,,,,,,23
3,eelgrass_images_counted,Box 12A Mar 7-2021-stb T11ENM (500x) HM (July 18 2023)_05(x500),12A_T11,medial,B1,,,13,1,,10,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,24
3,eelgrass_images_counted,Box 12A Mar 7-2021-stb T11ENM (500x) HM (July 18 2023)_05(x500),12A_T11,medial,C1,,,9,,1,24,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,34
3,eelgrass_images_counted,Box 12A Mar 7-2021-stb T11ENM (500x) HM (July 18 2023)_05(x500),12A_T11,medial,A2,,,19,,,4,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,23
