image_num,folder,file_name,box,blade_position,grid_position,under_review,suggested_id,cocconeis_small,cocconeis_big,navicula,tabularia,cylindrotheca,pseudo_nitzschia,gomphonemopsis,hyalodiscus,coscinodiscus,plagiotropis,nitzschia,rhoicosphenia,pseudogonphonema,thalassiosira,eucampia,chaetoceros,diploneis,entomoneis,pariraphis_like,planothidium,halamphora,achnanthes,amphora,petroneis,bacillaria,ellerbeckia,minidiscus,fragilariopsis,rhizosolenia,fogedia,skeletonema,pleurosigma,gomphoseptatum,licmophora,total
1,eelgrass_images_counted,Box 9 Mar 7-2021-stb17M leaf 6 En (500x) HM (July 18-2023)_04(x500),9_17_6,medial,A1,,,15,,1,2,,,,,,,,1,,,,,,,2,,,,,,,,0,,,,,,,,21
1,eelgrass_images_counted,Box 9 Mar 7-2021-stb17M leaf 6 En (500x) HM (July 18-2023)_04(x500),9_17_6,medial,B1,,,9,,1,1,,,,,,,,1,,,,,,,3,,,,,,,,0,,,,,,,,15
1,eelgrass_images_counted,Box 9 Mar 7-2021-stb17M leaf 6 En (500x) HM (July 18-2023)_04(x500),9_17_6,medial,C1,,,10,,1,1,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,12
1,eelgrass_images_counted,Box 9 Mar 7-2021-stb17M leaf 6 En (500x) HM (July 18-2023)_04(x500),9_17_6,medial,A2,,,12,,,,,,,,,,,1,,,,,,,,,,,,,,,0,,,,,,,,13
1,eelgrass_images_counted,Box 9 Mar 7-2021-stb17M leaf 6 En (500x) HM (July 18-2023)_04(x500),9_17_6,medial,B2,,,15,,2,4,,,,,,,,,,,,,,,3,,,,,,,,0,1,,,,,,,24
1,eelgrass_images_counted,Box 9 Mar 7-2021-stb17M leaf 6 En (500x) HM (July 18-2023)_04(x500),9_17_6,medial,C2,,,21,,,2,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,23
1,eelgrass_images_counted,Box 9 Mar 7-2021-stb17M leaf 6 En (500x) HM (July 18-2023)_04(x500),9_17_6,medial,A3,,,18,1,1,2,,,2,,,,,,,,,,,,,,,,,,,,0,,,,,,,,24
1,eelgrass_images_counted,Box 9 Mar 7-2021-stb17M leaf 6 En (500x) HM (July 18-2023)_04(x500),9_17_6,medial,B3,,,18,,,2,,,,,,,,,,,,,,,2,,,,,,,,0,,,,,,,,22
1,eelgrass_images_counted,Box 9 Mar 7-2021-stb17M leaf 6 En (500x) HM (July 18-2023)_04(x500),9_17_6,medial,C3,,,14,,1,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,15
2,eelgrass_images_counted,2: Box 9 Mar 7-2021-stb17M leaf 6 En (500x) HM (July 18-2023)_08(x500),9_17_6,medial,A1,,,7,,1,,,,2,,,,,,,,,,,,,,,,,,,,0,,,,,,,,10
