image_num,folder,file_name,box,blade_position,grid_position,under_review,suggested_id,cocconeis_small,cocconeis_big,navicula,tabularia,cylindrotheca,pseudo_nitzschia,gomphonemopsis,hyalodiscus,coscinodiscus,plagiotropis,nitzschia,rhoicosphenia,pseudogonphonema,thalassiosira,eucampia,chaetoceros,diploneis,entomoneis,pariraphis_like,planothidium,halamphora,achnanthes,amphora,petroneis,bacillaria,ellerbeckia,minidiscus,fragilariopsis,rhizosolenia,fogedia,skeletonema,pleurosigma,gomphoseptatum,licmophora,total
1,eelgrass_images_counted,Box 9 L6 T16 stb16 En P Mar 7-2021,9,proximal,A1,0,,14,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,20
1,eelgrass_images_counted,Box 9 L6 T16 stb16 En P Mar 7-2021,9,proximal,B1,0,,16,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,18
1,eelgrass_images_counted,Box 9 L6 T16 stb16 En P Mar 7-2021,9,proximal,C1,0,,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,12
1,eelgrass_images_counted,Box 9 L6 T16 stb16 En P Mar 7-2021,9,proximal,A2,0,,8,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,16
1,eelgrass_images_counted,Box 9 L6 T16 stb16 En P Mar 7-2021,9,proximal,B2,0,,7,1,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,17
1,eelgrass_images_counted,Box 9 L6 T16 stb16 En P Mar 7-2021,9,proximal,C2,0,,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,19
1,eelgrass_images_counted,Box 9 L6 T16 stb16 En P Mar 7-2021,9,proximal,A3,0,,14,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,18
1,eelgrass_images_counted,Box 9 L6 T16 stb16 En P Mar 7-2021,9,proximal,B3,0,,14,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,23
1,eelgrass_images_counted,Box 9 L6 T16 stb16 En P Mar 7-2021,9,proximal,C3,0,,18,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,21
2,eelgrass_images_counted,Box 9 En Mar 7 2021-P T16 stb 16 001.tif,9,proximal,A1,0,,3,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,15
2,eelgrass_images_counted,Box 9 En Mar 7 2021-P T16 stb 16 001.tif,9,proximal,B1,0,,5,2,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,14
