image_num,folder,file_name,box,blade_position,grid_position,under_review,suggested_id,cocconeis_small,cocconeis_big,navicula,tabularia,cylindrotheca,pseudo_nitzschia,gomphonemopsis,hyalodiscus,coscinodiscus,plagiotropis,nitzschia,rhoicosphenia,pseudogonphonema,thalassiosira,eucampia,chaetoceros,diploneis,entomoneis,pariraphis_like,planothidium,halamphora,achnanthes,amphora,petroneis,bacillaria,ellerbeckia,minidiscus,fragilariopsis,rhizosolenia,fogedia,skeletonema,pleurosigma,gomphoseptatum,licmophora,total
1,eelgrass_images_counted,Proximal En Mar 7-2021 Zm-MHMPP-Box 0_stb 1 MW-May 9-2023_005(x500),0_1_1Pa,proximal,A1,,,13,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,19
1,eelgrass_images_counted,Proximal En Mar 7-2021 Zm-MHMPP-Box 0_stb 1 MW-May 9-2023_005(x500),0_1_1Pa,proximal,B1,,,16,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,20
1,eelgrass_images_counted,Proximal En Mar 7-2021 Zm-MHMPP-Box 0_stb 1 MW-May 9-2023_005(x500),0_1_1Pa,proximal,C1,,,11,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,14
1,eelgrass_images_counted,Proximal En Mar 7-2021 Zm-MHMPP-Box 0_stb 1 MW-May 9-2023_005(x500),0_1_1Pa,proximal,A2,,,15,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,21
1,eelgrass_images_counted,Proximal En Mar 7-2021 Zm-MHMPP-Box 0_stb 1 MW-May 9-2023_005(x500),0_1_1Pa,proximal,B2,,,16,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,22
1,eelgrass_images_counted,Proximal En Mar 7-2021 Zm-MHMPP-Box 0_stb 1 MW-May 9-2023_005(x500),0_1_1Pa,proximal,C2,,,17,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,23
1,eelgrass_images_counted,Proximal En Mar 7-2021 Zm-MHMPP-Box 0_stb 1 MW-May 9-2023_005(x500),0_1_1Pa,proximal,A3,,,14,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,23
1,eelgrass_images_counted,Proximal En Mar 7-2021 Zm-MHMPP-Box 0_stb 1 MW-May 9-2023_005(x500),0_1_1Pa,proximal,B3,,,15,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,18
1,eelgrass_images_counted,Proximal En Mar 7-2021 Zm-MHMPP-Box 0_stb 1 MW-May 9-2023_005(x500),0_1_1Pa,proximal,C3,,,13,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,17
2,eelgrass_images_counted,Proximal En Mar 7-2021 Zm-MHMPP-Box 0_stb 1 MW-May 9-2023_006(x500),0_1_1Pa,proximal,A1,,,7,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,9
2,eelgrass_images_counted,Proximal En Mar 7-2021 Zm-MHMPP-Box 0_stb 1 MW-May 9-2023_006(x500),0_1_1Pa,proximal,B1,,,9,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,16
2,eelgrass_images_counted,Proximal En Mar 7-2021 Zm-MHMPP-Box 0_stb 1 MW-May 9-2023_006(x500),0_1_1Pa,proximal,C1,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12
2,eelgrass_images_counted,Proximal En Mar 7-2021 Zm-MHMPP-Box 0_stb 1 MW-May 9-2023_006(x500),0_1_1Pa,proximal,A2,,,10,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,11
2,eelgrass_images_counted,Proximal En Mar 7-2021 Zm-MHMPP-Box 0_stb 1 MW-May 9-2023_006(x500),0_1_1Pa,proximal,B2,,,7,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,10
2,eelgrass_images_counted,Proximal En Mar 7-2021 Zm-MHMPP-Box 0_stb 1 MW-May 9-2023_006(x500),0_1_1Pa,proximal,C2,,,11,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,12
2,eelgrass_images_counted,Proximal En Mar 7-2021 Zm-MHMPP-Box 0_stb 1 MW-May 9-2023_006(x500),0_1_1Pa,proximal,A3,,,8,1,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,13
2,eelgrass_images_counted,Proximal En Mar 7-2021 Zm-MHMPP-Box 0_stb 1 MW-May 9-2023_006(x500),0_1_1Pa,proximal,B3,,,10,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,12
2,eelgrass_images_counted,Proximal En Mar 7-2021 Zm-MHMPP-Box 0_stb 1 MW-May 9-2023_006(x500),0_1_1Pa,proximal,C3,,,8,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,11
3,eelgrass_images_counted,Proximal En Mar 7-2021 Zm-MHMPP-Box 0_stb 1 MW-May 9-2023_007(x500),0_1_1Pa,proximal,A1,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
3,eelgrass_images_counted,Proximal En Mar 7-2021 Zm-MHMPP-Box 0_stb 1 MW-May 9-2023_007(x500),0_1_1Pa,proximal,B1,,,12,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,14
3,eelgrass_images_counted,Proximal En Mar 7-2021 Zm-MHMPP-Box 0_stb 1 MW-May 9-2023_007(x500),0_1_1Pa,proximal,C1,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
3,eelgrass_images_counted,Proximal En Mar 7-2021 Zm-MHMPP-Box 0_stb 1 MW-May 9-2023_007(x500),0_1_1Pa,proximal,A2,,,17,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,18
3,eelgrass_images_counted,Proximal En Mar 7-2021 Zm-MHMPP-Box 0_stb 1 MW-May 9-2023_007(x500),0_1_1Pa,proximal,B2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
3,eelgrass_images_counted,Proximal En Mar 7-2021 Zm-MHMPP-Box 0_stb 1 MW-May 9-2023_007(x500),0_1_1Pa,proximal,C2,,,8,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,10
3,eelgrass_images_counted,Proximal En Mar 7-2021 Zm-MHMPP-Box 0_stb 1 MW-May 9-2023_007(x500),0_1_1Pa,proximal,A3,,,15,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,17
