image_num,folder,file_name,box,blade_position,grid_position,under_review,suggested_id,cocconeis_small,cocconeis_big,navicula,tabularia,cylindrotheca,pseudo_nitzschia,gomphonemopsis,hyalodiscus,coscinodiscus,plagiotropis,nitzschia,rhoicosphenia,pseudogonphonema,thalassiosira,eucampia,chaetoceros,diploneis,entomoneis,pariraphis_like,planothidium,halamphora,achnanthes,amphora,petroneis,bacillaria,ellerbeckia,minidiscus,fragilariopsis,rhizosolenia,fogedia,skeletonema,pleurosigma,gomphoseptatum,licmophora,total
1,eelgrass_images_counted,Box 0 Mar 7-2021-stb20 7Ma (500x) MW (July 11-2023)_03(x500)						,0_20_7,medial,A1,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,12
1,eelgrass_images_counted,Box 0 Mar 7-2021-stb20 7Ma (500x) MW (July 11-2023)_03(x500)						,0_20_7,medial,B1,,,12,,,10,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,22
1,eelgrass_images_counted,Box 0 Mar 7-2021-stb20 7Ma (500x) MW (July 11-2023)_03(x500)						,0_20_7,medial,C1,,,12,,,,,,,,,,,,,,,,,,1,,,,,,,,0,,,,,,,,13
1,eelgrass_images_counted,Box 0 Mar 7-2021-stb20 7Ma (500x) MW (July 11-2023)_03(x500)						,0_20_7,medial,A2,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,12
1,eelgrass_images_counted,Box 0 Mar 7-2021-stb20 7Ma (500x) MW (July 11-2023)_03(x500)						,0_20_7,medial,B2,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,12
1,eelgrass_images_counted,Box 0 Mar 7-2021-stb20 7Ma (500x) MW (July 11-2023)_03(x500)						,0_20_7,medial,C2,,,12,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,14
1,eelgrass_images_counted,Box 0 Mar 7-2021-stb20 7Ma (500x) MW (July 11-2023)_03(x500)						,0_20_7,medial,A3,,,12,,,,,,,,,,,,,,,,,,,1,,,,,,,3,,,,,,,,16
1,eelgrass_images_counted,Box 0 Mar 7-2021-stb20 7Ma (500x) MW (July 11-2023)_03(x500)						,0_20_7,medial,B3,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,10
1,eelgrass_images_counted,Box 0 Mar 7-2021-stb20 7Ma (500x) MW (July 11-2023)_03(x500)						,0_20_7,medial,C3,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,14
2,eelgrass_images_counted,Box 0 Mar 7-2021-stb20 7Ma (500x) MW (July 11-2023)_04(x500),0_20_7,medial,A1,,,12,1,1,,,,,,,,,1,,,,,,,,,,,,,,,0,,,,,,,,15
2,eelgrass_images_counted,Box 0 Mar 7-2021-stb20 7Ma (500x) MW (July 11-2023)_04(x500),0_20_7,medial,B1,,,7,1,,5,2,,,,,,,,,1,,,,,,,,,,,,,0,,,,,,,,16
2,eelgrass_images_counted,Box 0 Mar 7-2021-stb20 7Ma (500x) MW (July 11-2023)_04(x500),0_20_7,medial,C1,,,10,,1,6,1,,,,,1,,,,,,,,,,1,,,,,,,0,,,,,,,,20
