image_num,folder,file_name,box,blade_position,grid_position,under_review,suggested_id,cocconeis_small,cocconeis_big,navicula,tabularia,cylindrotheca,pseudo_nitzschia,gomphonemopsis,hyalodiscus,coscinodiscus,plagiotropis,nitzschia,rhoicosphenia,pseudogonphonema,thalassiosira,eucampia,chaetoceros,diploneis,entomoneis,pariraphis_like,planothidium,halamphora,achnanthes,amphora,petroneis,bacillaria,ellerbeckia,minidiscus,fragilariopsis,rhizosolenia,fogedia,skeletonema,pleurosigma,gomphoseptatum,licmophora,total
1,eelgrass_images_counted,Box 0 Mar 7-2021-stb3 1Da (500x) MW (July 11-2023)_02(x500),0_3_1Da,distal,A1,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
1,eelgrass_images_counted,Box 0 Mar 7-2021-stb3 1Da (500x) MW (July 11-2023)_02(x500),0_3_1Da,distal,B1,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
1,eelgrass_images_counted,Box 0 Mar 7-2021-stb3 1Da (500x) MW (July 11-2023)_02(x500),0_3_1Da,distal,C1,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
1,eelgrass_images_counted,Box 0 Mar 7-2021-stb3 1Da (500x) MW (July 11-2023)_02(x500),0_3_1Da,distal,A2,1,,1,,1,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25
1,eelgrass_images_counted,Box 0 Mar 7-2021-stb3 1Da (500x) MW (July 11-2023)_02(x500),0_3_1Da,distal,B2,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
1,eelgrass_images_counted,Box 0 Mar 7-2021-stb3 1Da (500x) MW (July 11-2023)_02(x500),0_3_1Da,distal,C2,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
1,eelgrass_images_counted,Box 0 Mar 7-2021-stb3 1Da (500x) MW (July 11-2023)_02(x500),0_3_1Da,distal,A3,,,4,,1,6,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,12
1,eelgrass_images_counted,Box 0 Mar 7-2021-stb3 1Da (500x) MW (July 11-2023)_02(x500),0_3_1Da,distal,B3,,,,,,6,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,8
1,eelgrass_images_counted,Box 0 Mar 7-2021-stb3 1Da (500x) MW (July 11-2023)_02(x500),0_3_1Da,distal,C3,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
2,eelgrass_images_counted,Box 0 Mar 7-2021-stb3 1Da (500x) MW (July 11-2023)_04(x500),0_3_1Da,distal,A1,,,12,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,18
