image_num,folder,file_name,box,blade_position,grid_position,under_review,suggested_id,cocconeis_small,cocconeis_big,navicula,tabularia,cylindrotheca,pseudo_nitzschia,gomphonemopsis,hyalodiscus,coscinodiscus,plagiotropis,nitzschia,rhoicosphenia,pseudogonphonema,thalassiosira,eucampia,chaetoceros,diploneis,entomoneis,pariraphis_like,planothidium,halamphora,achnanthes,amphora,petroneis,bacillaria,ellerbeckia,minidiscus,fragilariopsis,rhizosolenia,fogedia,skeletonema,pleurosigma,gomphoseptatum,licmophora,total
1,eelgrass_images_counted,Box 12A Mar 7-2021-stb T30END (500x) HM (July 18 2023)_03(x500),12A_T30,distal,A1,,,,,1,29,,,,,,,,2,2,,,,,,,,,,,,,,0,,,,,,,,34
1,eelgrass_images_counted,Box 12A Mar 7-2021-stb T30END (500x) HM (July 18 2023)_03(x500),12A_T30,distal,B1,,,,,,16,,,,,,,,5,,,,,,,,,,,,,,,0,,,,,,,,21
1,eelgrass_images_counted,Box 12A Mar 7-2021-stb T30END (500x) HM (July 18 2023)_03(x500),12A_T30,distal,C1,,,,,,7,,,,,,,,12,,,,,,,,,,,,,,,0,,,,,,,,19
1,eelgrass_images_counted,Box 12A Mar 7-2021-stb T30END (500x) HM (July 18 2023)_03(x500),12A_T30,distal,A2,,,,,,18,,,,,,,,4,,1,,,,,,,,,,,,,0,1,,,,,,,23
1,eelgrass_images_counted,Box 12A Mar 7-2021-stb T30END (500x) HM (July 18 2023)_03(x500),12A_T30,distal,B2,,,2,,,14,,,,,,,,6,,,,,,,,,,,,,,,0,,,,,,,,22
1,eelgrass_images_counted,Box 12A Mar 7-2021-stb T30END (500x) HM (July 18 2023)_03(x500),12A_T30,distal,C2,,,2,,,27,,,,,,,,2,,,,,,,,,,,,,,,0,,,,,,,,31
1,eelgrass_images_counted,Box 12A Mar 7-2021-stb T30END (500x) HM (July 18 2023)_03(x500),12A_T30,distal,A3,,,3,,,4,,,,,,,,5,,,,,,,,,,,,,,,0,,,,,,,,12
1,eelgrass_images_counted,Box 12A Mar 7-2021-stb T30END (500x) HM (July 18 2023)_03(x500),12A_T30,distal,B3,,,,,,1,,,,,,,,12,,,,,,,,,,,,,,,0,,,,,,,,13
1,eelgrass_images_counted,Box 12A Mar 7-2021-stb T30END (500x) HM (July 18 2023)_03(x500),12A_T30,distal,C3,,,,,,27,,,,,,,,5,,,,,,,,,,,,,,,0,,,,,,,,32
2,eelgrass_images_counted,Box 12A Mar 7-2021-stb T30END (500x) HM (July 18 2023)_04(x500),12A_T30,distal,A1,,,,,2,57,,,,,,,,6,,,,,,,,,,,,,,,0,,,,,,,,65
2,eelgrass_images_counted,Box 12A Mar 7-2021-stb T30END (500x) HM (July 18 2023)_04(x500),12A_T30,distal,B1,,,1,,,43,,,,,,,,4,,,,,,,,,,,,,,,0,,,,,,,,48
2,eelgrass_images_counted,Box 12A Mar 7-2021-stb T30END (500x) HM (July 18 2023)_04(x500),12A_T30,distal,C1,,,3,,,38,,,,,,,,1,,,,,,,,,,,,,,,0,,,,,,,,42
2,eelgrass_images_counted,Box 12A Mar 7-2021-stb T30END (500x) HM (July 18 2023)_04(x500),12A_T30,distal,A2,,,3,,5,46,,,,,,,,5,,,,,,,,,,,,,,,0,,,,,,,,59
2,eelgrass_images_counted,Box 12A Mar 7-2021-stb T30END (500x) HM (July 18 2023)_04(x500),12A_T30,distal,B2,,,3,1,6,32,,,,,,,,4,,,,,,,,,,,,,,,0,,,,,,,,46
2,eelgrass_images_counted,Box 12A Mar 7-2021-stb T30END (500x) HM (July 18 2023)_04(x500),12A_T30,distal,C2,,,2,,2,54,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,60
2,eelgrass_images_counted,Box 12A Mar 7-2021-stb T30END (500x) HM (July 18 2023)_04(x500),12A_T30,distal,A3,,,3,,,32,,,,,,,,4,,,,,,,,,,,,,,,0,,,,,,,,39
2,eelgrass_images_counted,Box 12A Mar 7-2021-stb T30END (500x) HM (July 18 2023)_04(x500),12A_T30,distal,B3,,,,,2,31,,,,,,,,8,,,,,,,,,,,,,,,0,,,,,,,,41
2,eelgrass_images_counted,Box 12A Mar 7-2021-stb T30END (500x) HM (July 18 2023)_04(x500),12A_T30,distal,C3,,,4,,2,87,,,,,,,,,,,,,,,,,,1,,,,,0,,,,,,,,94
3,eelgrass_images_counted,Box 12A Mar 7-2021-stb T30END (500x) HM (July 18 2023)_05(x500),12A_T30,distal,A1,,,2,,,20,,,2,,,,1,6,,,,,,,,,,,,,,,0,,,,,,,,31
3,eelgrass_images_counted,Box 12A Mar 7-2021-stb T30END (500x) HM (July 18 2023)_05(x500),12A_T30,distal,B1,,,,,,17,,,2,,,,,7,1,,,,,,,,,,,,,,0,,,,,,,,27
3,eelgrass_images_counted,Box 12A Mar 7-2021-stb T30END (500x) HM (July 18 2023)_05(x500),12A_T30,distal,C1,,,,,,26,,,,,,1,,13,,,,,,,,,,,,,,,0,,,,,,,,40
3,eelgrass_images_counted,Box 12A Mar 7-2021-stb T30END (500x) HM (July 18 2023)_05(x500),12A_T30,distal,A2,,,,,,26,,,13,,,,,12,,,,,,,,,,,,,,,0,,,,,,,,51
3,eelgrass_images_counted,Box 12A Mar 7-2021-stb T30END (500x) HM (July 18 2023)_05(x500),12A_T30,distal,B2,,,3,,,34,1,,9,,,,,5,,,,,,,,,,,,,,,0,,,,,,,,52
