image_num,folder,file_name,box,blade_position,grid_position,under_review,suggested_id,cocconeis_small,cocconeis_big,navicula,tabularia,cylindrotheca,pseudo_nitzschia,gomphonemopsis,hyalodiscus,coscinodiscus,plagiotropis,nitzschia,rhoicosphenia,pseudogonphonema,thalassiosira,eucampia,chaetoceros,diploneis,entomoneis,pariraphis_like,planothidium,halamphora,achnanthes,amphora,petroneis,bacillaria,ellerbeckia,minidiscus,fragilariopsis,rhizosolenia,fogedia,skeletonema,pleurosigma,gomphoseptatum,licmophora,total
1,eelgrass_images_counted,Box 9 Mar 7-2021-stb18D leaf 6 En (500x) HM (July 18-2023)_03(x500),9_18D_6,distal,A1,,,7,,,12,,,28,,,,,1,,,,,,,,,,,,,,,,,,,,,,,48
1,eelgrass_images_counted,Box 9 Mar 7-2021-stb18D leaf 6 En (500x) HM (July 18-2023)_03(x500),9_18D_6,distal,B1,,,5,,2,30,2,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,39
1,eelgrass_images_counted,Box 9 Mar 7-2021-stb18D leaf 6 En (500x) HM (July 18-2023)_03(x500),9_18D_6,distal,C1,,,,,,4,3,,,,,,,1,,,,,,,,,,1,,,,,,7,,,,,,,9
1,eelgrass_images_counted,Box 9 Mar 7-2021-stb18D leaf 6 En (500x) HM (July 18-2023)_03(x500),9_18D_6,distal,A2,,,4,,,6,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,12
1,eelgrass_images_counted,Box 9 Mar 7-2021-stb18D leaf 6 En (500x) HM (July 18-2023)_03(x500),9_18D_6,distal,B2,,,5,,,10,1,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,18
1,eelgrass_images_counted,Box 9 Mar 7-2021-stb18D leaf 6 En (500x) HM (July 18-2023)_03(x500),9_18D_6,distal,C2,,,2,,,11,,,,,1,,,5,,,,,,,,,,,,,,,,,,,,,,,19
1,eelgrass_images_counted,Box 9 Mar 7-2021-stb18D leaf 6 En (500x) HM (July 18-2023)_03(x500),9_18D_6,distal,A3,,,3,,,6,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,10
1,eelgrass_images_counted,Box 9 Mar 7-2021-stb18D leaf 6 En (500x) HM (July 18-2023)_03(x500),9_18D_6,distal,B3,1,,4,,2,8,,,4,,,,,1,,,,,,,,,,,,,,,,,,,,,,,19
1,eelgrass_images_counted,Box 9 Mar 7-2021-stb18D leaf 6 En (500x) HM (July 18-2023)_03(x500),9_18D_6,distal,C3,,,,,,15,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,17
2,eelgrass_images_counted,Box 9 Mar 7-2021-stb18D leaf 6 En (500x) HM (July 18-2023)_04(x500),9_18D_6,distal,A1,,,,,,37,3,,6,,,,,3,,,,,,,,,,,,,,,,,,,,,,,49
2,eelgrass_images_counted,Box 9 Mar 7-2021-stb18D leaf 6 En (500x) HM (July 18-2023)_04(x500),9_18D_6,distal,B1,1,,2,,,30,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34
2,eelgrass_images_counted,Box 9 Mar 7-2021-stb18D leaf 6 En (500x) HM (July 18-2023)_04(x500),9_18D_6,distal,C1,,,,,,24,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,27
2,eelgrass_images_counted,Box 9 Mar 7-2021-stb18D leaf 6 En (500x) HM (July 18-2023)_04(x500),9_18D_6,distal,A2,,,5,,,4,,,,,,1,3,,,,,,,,,,,,,,,,,6,,,,,,,13
2,eelgrass_images_counted,Box 9 Mar 7-2021-stb18D leaf 6 En (500x) HM (July 18-2023)_04(x500),9_18D_6,distal,B2,,,,,,7,,,1,,,,1,6,,,,,,,,,,,,,,,,,,,,,,,15
2,eelgrass_images_counted,Box 9 Mar 7-2021-stb18D leaf 6 En (500x) HM (July 18-2023)_04(x500),9_18D_6,distal,C2,1,,,,,5,,,,,,1,,3,,,,,,,,,1,,,,,,,,,,,,,,10
2,eelgrass_images_counted,Box 9 Mar 7-2021-stb18D leaf 6 En (500x) HM (July 18-2023)_04(x500),9_18D_6,distal,A3,,,,,,4,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,7
2,eelgrass_images_counted,Box 9 Mar 7-2021-stb18D leaf 6 En (500x) HM (July 18-2023)_04(x500),9_18D_6,distal,B3,,,,,,5,,,,,,,,7,,,,,,,,,2,,,,,,,4,,,,,,,14
2,eelgrass_images_counted,Box 9 Mar 7-2021-stb18D leaf 6 En (500x) HM (July 18-2023)_04(x500),9_18D_6,distal,C3,2,,,,,,,,,,,,1,2,,,,,,,,,4,,,,,,,,,,,,,,7
3,eelgrass_images_counted,Box 9 Mar 7-2021-stb18D leaf 6 En (500x) HM (July 18-2023)_05(x500),9_18D_6,distal,A1,,,1,,,19,1,,3,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,27
3,eelgrass_images_counted,Box 9 Mar 7-2021-stb18D leaf 6 En (500x) HM (July 18-2023)_05(x500),9_18D_6,distal,B1,,,2,,,30,,,,,,,1,3,,,,,,,,,1,,,,,,,3,,,,,,,37
3,eelgrass_images_counted,Box 9 Mar 7-2021-stb18D leaf 6 En (500x) HM (July 18-2023)_05(x500),9_18D_6,distal,C1,,,2,,3,35,1,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,43
3,eelgrass_images_counted,Box 9 Mar 7-2021-stb18D leaf 6 En (500x) HM (July 18-2023)_05(x500),9_18D_6,distal,A2,,,,,,13,1,,,,,2,,6,,,,,,,,,1,,,,,,,9,,,,,,,23
3,eelgrass_images_counted,Box 9 Mar 7-2021-stb18D leaf 6 En (500x) HM (July 18-2023)_05(x500),9_18D_6,distal,B2,,,5,,1,39,1,,,,,,1,4,,,,,,,,,,,,,,,,5,,,,,,,51
3,eelgrass_images_counted,Box 9 Mar 7-2021-stb18D leaf 6 En (500x) HM (July 18-2023)_05(x500),9_18D_6,distal,C2,,,2,,3,18,,,,,,,2,,,,,,,,,,,,,,,,,9,,,,,,,25
3,eelgrass_images_counted,Box 9 Mar 7-2021-stb18D leaf 6 En (500x) HM (July 18-2023)_05(x500),9_18D_6,distal,A3,1,,6,,1,22,1,,,,,,,1,,,,,,,,,,,,,,,,8,,,,,,,31
3,eelgrass_images_counted,Box 9 Mar 7-2021-stb18D leaf 6 En (500x) HM (July 18-2023)_05(x500),9_18D_6,distal,B3,,,5,,,24,1,,,,,,,3,,,,,,,,,,1,,,,,,20,,,,,,,34
3,eelgrass_images_counted,Box 9 Mar 7-2021-stb18D leaf 6 En (500x) HM (July 18-2023)_05(x500),9_18D_6,distal,C3,,,3,,2,20,,,,,,,3,1,,,,,,,,,,,,,,,,11,,,,,,,29
4,eelgrass_images_counted,Box 9 Mar 7-2021-stb18D leaf 6 En (500x) HM (July 18-2023)_06(x500),9_18D_6,distal,A1,,,5,2,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14
4,eelgrass_images_counted,Box 9 Mar 7-2021-stb18D leaf 6 En (500x) HM (July 18-2023)_06(x500),9_18D_6,distal,B1,,,3,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15
4,eelgrass_images_counted,Box 9 Mar 7-2021-stb18D leaf 6 En (500x) HM (July 18-2023)_06(x500),9_18D_6,distal,C1,,,7,,,21,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,32
4,eelgrass_images_counted,Box 9 Mar 7-2021-stb18D leaf 6 En (500x) HM (July 18-2023)_06(x500),9_18D_6,distal,A2,,,12,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16
4,eelgrass_images_counted,Box 9 Mar 7-2021-stb18D leaf 6 En (500x) HM (July 18-2023)_06(x500),9_18D_6,distal,B2,,,6,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
4,eelgrass_images_counted,Box 9 Mar 7-2021-stb18D leaf 6 En (500x) HM (July 18-2023)_06(x500),9_18D_6,distal,C2,1,,5,,1,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18
4,eelgrass_images_counted,Box 9 Mar 7-2021-stb18D leaf 6 En (500x) HM (July 18-2023)_06(x500),9_18D_6,distal,A3,,,2,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
4,eelgrass_images_counted,Box 9 Mar 7-2021-stb18D leaf 6 En (500x) HM (July 18-2023)_06(x500),9_18D_6,distal,B3,,,1,,,1,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,4
4,eelgrass_images_counted,Box 9 Mar 7-2021-stb18D leaf 6 En (500x) HM (July 18-2023)_06(x500),9_18D_6,distal,C3,,,,1,,5,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
5,eelgrass_images_counted,Box 9 Mar 7-2021-stb18D leaf 6 En (500x) HM (July 18-2023)_07(x500),9_18D_6,distal,A1,,,4,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
5,eelgrass_images_counted,Box 9 Mar 7-2021-stb18D leaf 6 En (500x) HM (July 18-2023)_07(x500),9_18D_6,distal,B1,,,2,,2,5,,,2,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,13
5,eelgrass_images_counted,Box 9 Mar 7-2021-stb18D leaf 6 En (500x) HM (July 18-2023)_07(x500),9_18D_6,distal,C1,,,1,,1,15,1,,2,,,,,4,,,,,,,,,,,,,,,,,,,,,,,24
5,eelgrass_images_counted,Box 9 Mar 7-2021-stb18D leaf 6 En (500x) HM (July 18-2023)_07(x500),9_18D_6,distal,A2,,,,1,1,12,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,17
5,eelgrass_images_counted,Box 9 Mar 7-2021-stb18D leaf 6 En (500x) HM (July 18-2023)_07(x500),9_18D_6,distal,B2,,,,,2,10,,,,,,,,4,,,,,,,,,,,,,,,,4,,,,,,,16
5,eelgrass_images_counted,Box 9 Mar 7-2021-stb18D leaf 6 En (500x) HM (July 18-2023)_07(x500),9_18D_6,distal,C2,,,,,,23,1,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,20
5,eelgrass_images_counted,Box 9 Mar 7-2021-stb18D leaf 6 En (500x) HM (July 18-2023)_07(x500),9_18D_6,distal,A3,,,2,,2,15,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,32
5,eelgrass_images_counted,Box 9 Mar 7-2021-stb18D leaf 6 En (500x) HM (July 18-2023)_07(x500),9_18D_6,distal,B3,,,1,1,,15,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,#REF!
5,eelgrass_images_counted,Box 9 Mar 7-2021-stb18D leaf 6 En (500x) HM (July 18-2023)_07(x500),9_18D_6,distal,C3,,,2,,,26,,,,,,,,3,,,,,,,,,,,1,,,,,,,,,,,,#REF!
6,eelgrass_images_counted,Box 9 Mar 7-2021-stb18D leaf 6 En (500x) HM (July 18-2023)_08(x500),9_18D_6,distal,A1,,,,,,3,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,20
6,eelgrass_images_counted,Box 9 Mar 7-2021-stb18D leaf 6 En (500x) HM (July 18-2023)_08(x500),9_18D_6,distal,B1,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
6,eelgrass_images_counted,Box 9 Mar 7-2021-stb18D leaf 6 En (500x) HM (July 18-2023)_08(x500),9_18D_6,distal,C1,,,1,,,3,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,18
6,eelgrass_images_counted,Box 9 Mar 7-2021-stb18D leaf 6 En (500x) HM (July 18-2023)_08(x500),9_18D_6,distal,A2,,,,,,1,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,30
6,eelgrass_images_counted,Box 9 Mar 7-2021-stb18D leaf 6 En (500x) HM (July 18-2023)_08(x500),9_18D_6,distal,B2,,,,,1,2,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,18
6,eelgrass_images_counted,Box 9 Mar 7-2021-stb18D leaf 6 En (500x) HM (July 18-2023)_08(x500),9_18D_6,distal,C2,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
6,eelgrass_images_counted,Box 9 Mar 7-2021-stb18D leaf 6 En (500x) HM (July 18-2023)_08(x500),9_18D_6,distal,A3,,,,,,1,,,26,,,,,1,,,,,,,,,,,,,,,,,,,,,,,28
6,eelgrass_images_counted,Box 9 Mar 7-2021-stb18D leaf 6 En (500x) HM (July 18-2023)_08(x500),9_18D_6,distal,B3,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,19
6,eelgrass_images_counted,Box 9 Mar 7-2021-stb18D leaf 6 En (500x) HM (July 18-2023)_08(x500),9_18D_6,distal,C3,,,1,,,,1,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,13
7,eelgrass_images_counted,Box 9 Mar 7-2021-stb18D leaf 6 En (500x) HM (July 18-2023)_09(x500),9_18D_6,distal,A1,,,4,,,12,2,,,,,1,,,,,,,,,,,8,,,,,,,1,,,,,,,27
7,eelgrass_images_counted,Box 9 Mar 7-2021-stb18D leaf 6 En (500x) HM (July 18-2023)_09(x500),9_18D_6,distal,B1,,,10,,2,7,2,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,21
7,eelgrass_images_counted,Box 9 Mar 7-2021-stb18D leaf 6 En (500x) HM (July 18-2023)_09(x500),9_18D_6,distal,C1,,,12,1,5,3,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,21
7,eelgrass_images_counted,Box 9 Mar 7-2021-stb18D leaf 6 En (500x) HM (July 18-2023)_09(x500),9_18D_6,distal,A2,,,6,,,3,,,2,,,,,,,,,,,,,,,,,,,,,6,,,,,,,11
7,eelgrass_images_counted,Box 9 Mar 7-2021-stb18D leaf 6 En (500x) HM (July 18-2023)_09(x500),9_18D_6,distal,B2,,,18,,5,3,,,1,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,29
7,eelgrass_images_counted,Box 9 Mar 7-2021-stb18D leaf 6 En (500x) HM (July 18-2023)_09(x500),9_18D_6,distal,C2,,,10,,2,4,1,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,17
7,eelgrass_images_counted,Box 9 Mar 7-2021-stb18D leaf 6 En (500x) HM (July 18-2023)_09(x500),9_18D_6,distal,A3,,,4,,3,,,,,,,,,,,,,,,,,,2,,,,,,,8,,,,,,,9
7,eelgrass_images_counted,Box 9 Mar 7-2021-stb18D leaf 6 En (500x) HM (July 18-2023)_09(x500),9_18D_6,distal,B3,,,11,,1,3,1,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,17
7,eelgrass_images_counted,Box 9 Mar 7-2021-stb18D leaf 6 En (500x) HM (July 18-2023)_09(x500),9_18D_6,distal,C3,,,10,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13
8,eelgrass_images_counted,Box 9 Mar 7-2021-stb18D leaf 6 En (500x) HM (July 18-2023)_10(x500),9_18D_6,distal,A1,,,17,,,2,,,,,,,,,,,,,,,,1,,,,,,,,7,,,,,,,20
8,eelgrass_images_counted,Box 9 Mar 7-2021-stb18D leaf 6 En (500x) HM (July 18-2023)_10(x500),9_18D_6,distal,B1,,,13,1,,2,1,,,,,,,,,,,,,,2,1,2,,,,,,,10,,,,,,,22
8,eelgrass_images_counted,Box 9 Mar 7-2021-stb18D leaf 6 En (500x) HM (July 18-2023)_10(x500),9_18D_6,distal,C1,,,11,,4,3,3,,,,,,,,,,,,,,2,1,,,,,,,,15,,,,,,,24
8,eelgrass_images_counted,Box 9 Mar 7-2021-stb18D leaf 6 En (500x) HM (July 18-2023)_10(x500),9_18D_6,distal,A2,,,6,1,,,,,,,,,,,1,,,,,,2,,,,,,,,,7,,,,,,,10
8,eelgrass_images_counted,Box 9 Mar 7-2021-stb18D leaf 6 En (500x) HM (July 18-2023)_10(x500),9_18D_6,distal,B2,,,10,,3,,2,,,,,,,,,,,,,,,,,,,,,,,22,,,,,,,15
