plot_colors,genus
#A6CEE3,AchnanthalesCocconeis
tan3,FragilarialesTabularia
#1F78B4,AchnanthalesAchnanthales
gold1,EupodiscalesOdontella
#33A02C,NaviculalesNavicula
chartreuse4,NaviculalesStauroneidaceae
#FF7F00,BacillarialesCylindrotheca
#801210,ThalassiosirialesThalassiosira
lightskyblue,AchnanthalesAchnanthidium
#FDBF6F,BacillarialesNitzschia
#63B8FF,AchnanthalesAchnanthes
mediumpurple2,MelosiralesMelosira
gray10,BacillariophyceaeBacillariophyceae
limegreen,NaviculalesPleurosigma
#6E8B3D,NaviculalesHalamphora
grey40,DiatomeaDiatomea
#A7631F,BacillarialesTryblionella
grey90,Others
