plot_colors,genus
#A6CEE3,AchnanthalesCocconeis 
tan3,FragilarialesTabularia 
#33A02C,NaviculalesNavicula 
salmon3,Periraphis.like 
#6B3B3A,ThalassiosiralesMinidiscus 
lightgoldenrod3,CymbellalesGomphonemopsis 
lightgoldenrod1,CymbellalesRhoicosphenia 
#34BD4B,NaviculalesPseudogomphonema 
#015E31,NaviculalesPlagiotropis 
#FF7F00,BacillarialesCylindrotheca 
peachpuff,ThalassiophysalesHalamphora 
#B0E2FF,AchnanthalesPlanothidium 
#FDBF6F,BacillarialesNitzschia 
#BC4947,ThalassiosiralesSkeletonema 
grey90,Others
