plot_colors,genus
#33A02C,NaviculalesNavicula
gray40,BacillariophyceaeBacillariophyceae
#FDBF6F,BacillarialesNitzschia
#90FC89,NaviculalesPseudogomphonema
#b32320,ThalassiosiralesThalassiosirales
#1F78B4,AchnanthalesAchnanthales
#E3211D,ThalassiosiralesMinidiscus
#801210,ThalassiosiralesThalassiosira
#FF7F00,BacillarialesCylindrotheca
#518f4d,NaviculalesNaviculales
limegreen,NaviculalesPleurosigma
darksalmon,ThalassiophysalesAmphora
#FFF200,TriceratialesOdontella
#d4a66c,BacillarialesBacillariales
grey90,Others
