plot_colors,genus
#33A02C,NaviculalesNavicula
#1F78B4,AchnanthalesAchnanthales
#FF7F00,BacillarialesCylindrotheca
darkred,ThalassiosiralesThalassiosirales
#E3211D,ThalassiosiralesMinidiscus
#90FC89,NaviculalesPseudogomphonema
#B2DF8A,NaviculalesHaslea
gold1,EupodiscalesOdontella
#A6CEE3,AchnanthalesCocconeis
tan3,FragilarialesTabularia
#739F70,NaviculalesPleurosigma
darksalmon,ThalassiophysalesAmphora
#801210,ThalassiosiralesThalassiosira
#FDBF6F,BacillarialesNitzschia
grey90,Others
