asv184_Amphora	N/A	TCC750-18s-1|18S	N/A	99.057	53	5.37e-51	191
asv140_Bacillaria	N/A	FR865483|18S	N/A	98.361	100	5.92e-90	320
asv82_Bacillariophyceae	N/A	KF417680|18S	N/A	98.020	51	1.50e-46	176
asv183_Fragilariales	N/A	HQ912637|18S	N/A	98.901	100	1.27e-91	326
asv27_Cylindrotheca	N/A	FR865492|18S	N/A	100.000	100	6.43e-105	370
asv455_Cylindrotheca	N/A	FR865492|18S	N/A	98.500	100	6.47e-100	353
asv602_Haslea	N/A	AY485482|18S	N/A	100.000	100	5.88e-95	337
asv148_Navicula	N/A	AM501991|18S	N/A	98.500	100	6.47e-100	353
asv148_Navicula	N/A	FR873255|18S	N/A	98.000	100	3.01e-98	348
asv202_Navicula	N/A	HM805043|18S	N/A	98.500	100	6.47e-100	353
asv202_Navicula	N/A	KP400265|18S	N/A	98.000	100	3.01e-98	348
asv202_Navicula	N/A	HM805044|18S	N/A	98.000	100	3.01e-98	348
asv234_Navicula	N/A	FR873254|18S	N/A	99.000	100	1.39e-101	359
asv234_Navicula	N/A	AM501991|18S	N/A	99.000	100	1.39e-101	359
asv234_Navicula	N/A	FR873255|18S	N/A	98.500	100	6.47e-100	353
asv234_Navicula	N/A	FN398345|18S	N/A	98.000	100	3.01e-98	348
asv262_Navicula	N/A	FR873254|18S	N/A	99.000	100	1.39e-101	359
asv262_Navicula	N/A	AM501991|18S	N/A	99.000	100	1.39e-101	359
asv262_Navicula	N/A	FR873255|18S	N/A	98.500	100	6.47e-100	353
asv262_Navicula	N/A	FN398345|18S	N/A	98.000	100	3.01e-98	348
asv276_Navicula	N/A	FR873254|18S	N/A	98.901	100	1.27e-91	326
asv276_Navicula	N/A	AM501991|18S	N/A	98.901	100	1.27e-91	326
asv276_Navicula	N/A	FR873255|18S	N/A	98.352	100	5.92e-90	320
asv284_Navicula	N/A	AM501991|18S	N/A	99.451	100	2.74e-93	331
asv284_Navicula	N/A	FR873255|18S	N/A	98.901	100	1.27e-91	326
asv284_Navicula	N/A	FR873254|18S	N/A	98.352	100	5.92e-90	320
asv292_Navicula	N/A	JN674064|18S	N/A	100.000	100	6.43e-105	370
asv292_Navicula	N/A	AM501974|18S	N/A	100.000	100	6.43e-105	370
